"Index Name","Date","Open","High","Low","Close"
"NIFTY 200","31 Dec 2025","14440.8","14564.7","14440.15","14533.50"
"NIFTY 200","30 Dec 2025","14418.15","14438.8","14377.85","14416.45"
"NIFTY 200","29 Dec 2025","14495.35","14510.8","14408.8","14420.65"
"NIFTY 200","26 Dec 2025","14517.25","14546.45","14462.4","14481.50"
"NIFTY 200","24 Dec 2025","14561.4","14594.45","14515.75","14525.40"
"NIFTY 200","23 Dec 2025","14571.25","14583.45","14519.95","14558.50"
"NIFTY 200","22 Dec 2025","14484.7","14555.15","14474.15","14549.60"
"NIFTY 200","19 Dec 2025","14377.5","14442.55","14367.9","14436.10"
"NIFTY 200","18 Dec 2025","14311.65","14375.05","14260.8","14332.05"
"NIFTY 200","17 Dec 2025","14386.25","14410.75","14302.3","14331.25"
"NIFTY 200","16 Dec 2025","14429.9","14438.1","14350.85","14368.35"
"NIFTY 200","15 Dec 2025","14419.3","14469.3","14382.35","14461.90"
"NIFTY 200","12 Dec 2025","14407.8","14476.5","14399.3","14469.30"
"NIFTY 200","11 Dec 2025","14285.05","14376.2","14243.3","14366.15"
"NIFTY 200","10 Dec 2025","14356.85","14406.5","14265.2","14277.45"
"NIFTY 200","09 Dec 2025","14318.35","14376.25","14214.85","14341.35"
"NIFTY 200","08 Dec 2025","14531.3","14542.1","14328.35","14368.05"
"NIFTY 200","05 Dec 2025","14452.45","14550.25","14435.75","14541.65"
"NIFTY 200","04 Dec 2025","14446.4","14511.6","14427.6","14466.40"
"NIFTY 200","03 Dec 2025","14501.45","14524.9","14400.8","14444.40"
"NIFTY 200","02 Dec 2025","14536.1","14575.15","14485.4","14508.95"
"NIFTY 200","01 Dec 2025","14642.65","14642.65","14538.7","14571.35"
"NIFTY 200","28 Nov 2025","14597.1","14611.7","14561.85","14579.35"
"NIFTY 200","27 Nov 2025","14615.1","14626.05","14541.95","14585.35"
"NIFTY 200","26 Nov 2025","14392.5","14588.85","14392.5","14582.50"
"NIFTY 200","25 Nov 2025","14429.65","14459.1","14385.75","14398.65"
"NIFTY 200","24 Nov 2025","14505.35","14512.85","14392.5","14412.85"
"NIFTY 200","21 Nov 2025","14546.7","14565.65","14473.85","14481.50"
"NIFTY 200","20 Nov 2025","14579.2","14620.4","14542.75","14583.80"
"NIFTY 200","19 Nov 2025","14476.85","14543.35","14438","14531.85"
"NIFTY 200","18 Nov 2025","14549.65","14551.95","14455.4","14472.15"
"NIFTY 200","17 Nov 2025","14503.55","14548.1","14484.1","14541.45"
"NIFTY 200","14 Nov 2025","14417.95","14487.6","14392.9","14472.60"
"NIFTY 200","13 Nov 2025","14484.05","14534.5","14435.2","14460.55"
"NIFTY 200","12 Nov 2025","14447.45","14495.75","14425.35","14467.15"
"NIFTY 200","11 Nov 2025","14335.95","14383.7","14237.1","14375.15"
"NIFTY 200","10 Nov 2025","14276.3","14355.65","14276.3","14313.30"
"NIFTY 200","07 Nov 2025","14207.85","14291.85","14124.6","14262.45"
"NIFTY 200","06 Nov 2025","14338.05","14364.55","14242.5","14251.00"
"NIFTY 200","04 Nov 2025","14412.3","14427.35","14324.05","14333.45"
"NIFTY 200","03 Nov 2025","14360.05","14435.65","14342.6","14416.35"
"NIFTY 200","31 Oct 2025","14441.15","14483.45","14355","14362.30"
"NIFTY 200","30 Oct 2025","14498.8","14511.4","14420.9","14440.65"
"NIFTY 200","29 Oct 2025","14450.75","14526.95","14436.85","14514.55"
"NIFTY 200","28 Oct 2025","14445.85","14483.85","14364.15","14425.70"
"NIFTY 200","27 Oct 2025","14385.4","14462.1","14373.35","14447.60"
"NIFTY 200","24 Oct 2025","14420.75","14424.6","14312.55","14351.40"
"NIFTY 200","23 Oct 2025","14482.25","14506.85","14378.55","14396.40"
"NIFTY 200","21 Oct 2025","14420.2","14434.4","14369","14391.75"
"NIFTY 200","20 Oct 2025","14367.55","14418.1","14345.95","14377.25"
"NIFTY 200","17 Oct 2025","14260.7","14352.85","14241.95","14304.60"
"NIFTY 200","16 Oct 2025","14192.35","14293.45","14181.65","14274.35"
"NIFTY 200","15 Oct 2025","14058.45","14171.7","14055.75","14153.15"
"NIFTY 200","14 Oct 2025","14124.7","14139.95","13991.9","14031.95"
"NIFTY 200","13 Oct 2025","14058.35","14106.3","14034.6","14092.25"
"NIFTY 200","10 Oct 2025","14059.5","14140.15","14046.35","14114.85"
"NIFTY 200","09 Oct 2025","13992.7","14065.25","13969.75","14059.05"
"NIFTY 200","08 Oct 2025","14018.5","14062.3","13959","13972.25"
"NIFTY 200","07 Oct 2025","14013.55","14073.85","14003.85","14029.10"
"NIFTY 200","06 Oct 2025","13917.75","14007.55","13894.75","14003.25"
"NIFTY 200","03 Oct 2025","13832.6","13909.55","13812.9","13904.50"
"NIFTY 200","01 Oct 2025","13746.25","13863.95","13736.85","13854.40"
"NIFTY 200","30 Sep 2025","13781.4","13802.65","13709.1","13739.95"
"NIFTY 200","29 Sep 2025","13772.55","13822.1","13712.4","13748.90"
"NIFTY 200","26 Sep 2025","13869","13888.2","13716.7","13730.05"
"NIFTY 200","25 Sep 2025","13988.45","14027","13894.2","13902.35"
"NIFTY 200","24 Sep 2025","14062.9","14079.6","13987.45","13996.20"
"NIFTY 200","23 Sep 2025","14131.65","14149.45","14042.5","14087.20"
"NIFTY 200","22 Sep 2025","14138.45","14196.3","14088.2","14117.40"
"NIFTY 200","19 Sep 2025","14204.6","14211.95","14153.35","14174.85"
"NIFTY 200","18 Sep 2025","14204.5","14208.7","14146.75","14199.30"
"NIFTY 200","17 Sep 2025","14135.1","14162.05","14119.5","14148.80"
"NIFTY 200","16 Sep 2025","14028.65","14118.65","14019.3","14107.55"
"NIFTY 200","15 Sep 2025","14024.35","14040.5","14001.9","14017.90"
"NIFTY 200","12 Sep 2025","13998.45","14024.5","13977.75","14012.55"
"NIFTY 200","11 Sep 2025","13931.4","13971.7","13927.35","13957.00"
"NIFTY 200","10 Sep 2025","13931.6","13966.8","13905.25","13936.30"
"NIFTY 200","09 Sep 2025","13866.65","13875.45","13831","13865.75"
"NIFTY 200","08 Sep 2025","13827.8","13883.6","13799.8","13822.10"
"NIFTY 200","05 Sep 2025","13829.35","13842.85","13719.4","13790.05"
"NIFTY 200","04 Sep 2025","13955.85","13955.85","13769.5","13784.50"
"NIFTY 200","03 Sep 2025","13743.9","13811.05","13709.15","13802.00"
"NIFTY 200","02 Sep 2025","13744.95","13806.75","13693.6","13721.95"
"NIFTY 200","01 Sep 2025","13589.55","13728","13589.5","13723.05"
"NIFTY 200","29 Aug 2025","13608.3","13671.4","13562.5","13575.10"
"NIFTY 200","28 Aug 2025","13757.3","13757.3","13614.15","13622.25"
"NIFTY 200","26 Aug 2025","13884.4","13894.25","13745.75","13757.80"
"NIFTY 200","25 Aug 2025","13923.25","13953.55","13892.8","13920.85"
"NIFTY 200","22 Aug 2025","13970.05","13976.5","13869.05","13875.40"
"NIFTY 200","21 Aug 2025","14022.8","14024.3","13966.85","13973.30"
"NIFTY 200","20 Aug 2025","13926.65","13994.3","13905.7","13975.20"
"NIFTY 200","19 Aug 2025","13867.05","13937.35","13839","13930.00"
"NIFTY 200","18 Aug 2025","13875.95","13926.25","13846.15","13852.80"
"NIFTY 200","14 Aug 2025","13720.05","13743.9","13687.4","13707.70"
"NIFTY 200","13 Aug 2025","13689.5","13737.05","13669.15","13713.60"
"NIFTY 200","12 Aug 2025","13677.95","13743.55","13626.05","13636.70"
"NIFTY 200","11 Aug 2025","13559.1","13691.75","13540.95","13682.25"
"NIFTY 200","08 Aug 2025","13695.15","13703.9","13541.4","13555.15"
"NIFTY 200","07 Aug 2025","13623.95","13728.35","13545.25","13706.85"
"NIFTY 200","06 Aug 2025","13755.1","13762.05","13662","13686.15"
"NIFTY 200","05 Aug 2025","13794.45","13795.9","13711.15","13750.75"
"NIFTY 200","04 Aug 2025","13692.35","13799.1","13667.8","13792.60"
"NIFTY 200","01 Aug 2025","13802.65","13813.3","13661.65","13678.50"
"NIFTY 200","31 Jul 2025","13744.55","13909.25","13743.05","13814.00"
"NIFTY 200","30 Jul 2025","13900.2","13900.55","13830.65","13879.35"
"NIFTY 200","29 Jul 2025","13740.7","13877.65","13737.65","13866.45"
"NIFTY 200","28 Jul 2025","13838.25","13915.2","13756.3","13775.75"
"NIFTY 200","25 Jul 2025","13993.65","13993.65","13849.05","13866.75"
"NIFTY 200","24 Jul 2025","14111.9","14112.9","13994.55","14023.00"
"NIFTY 200","23 Jul 2025","14067.65","14107.5","14021.45","14102.30"
"NIFTY 200","22 Jul 2025","14106.2","14110.6","14020.75","14029.75"
"NIFTY 200","21 Jul 2025","14006.9","14074.1","13944.8","14063.40"
"NIFTY 200","18 Jul 2025","14082.85","14096.1","13972.75","13993.45"
"NIFTY 200","17 Jul 2025","14144","14147.15","14073.8","14079.55"
"NIFTY 200","16 Jul 2025","14120.75","14146.1","14083.95","14126.95"
"NIFTY 200","15 Jul 2025","14049","14130.55","14043.3","14116.20"
"NIFTY 200","14 Jul 2025","14041.3","14055.7","13988.1","14036.80"
"NIFTY 200","11 Jul 2025","14111.85","14143.7","14021.7","14036.60"
"NIFTY 200","10 Jul 2025","14232.5","14238.85","14141.3","14152.90"
"NIFTY 200","09 Jul 2025","14233.75","14250.05","14183.2","14211.15"
"NIFTY 200","08 Jul 2025","14204.85","14245.05","14174.55","14233.25"
"NIFTY 200","07 Jul 2025","14216.95","14236.65","14187.1","14214.05"
"NIFTY 200","04 Jul 2025","14207.3","14221.35","14146.25","14217.15"
"NIFTY 200","03 Jul 2025","14244.65","14275.35","14178.35","14188.60"
"NIFTY 200","02 Jul 2025","14281.7","14293.25","14168.85","14217.35"
"NIFTY 200","01 Jul 2025","14276.15","14289.35","14226.5","14260.50"
"NIFTY 200","30 Jun 2025","14302.6","14305.75","14223.85","14252.65"
"NIFTY 200","27 Jun 2025","14247.55","14294.4","14230.85","14276.05"
"NIFTY 200","26 Jun 2025","14096.4","14231.3","14090.65","14223.30"
"NIFTY 200","25 Jun 2025","14037.6","14079.7","14021.3","14074.10"
"NIFTY 200","24 Jun 2025","14043","14105.65","13954.25","13977.25"
"NIFTY 200","23 Jun 2025","13862.1","13959.45","13823.15","13915.75"
"NIFTY 200","20 Jun 2025","13776.4","13975.35","13776.4","13959.60"
"NIFTY 200","19 Jun 2025","13847.9","13875.05","13746.65","13777.10"
"NIFTY 200","18 Jun 2025","13853.15","13932.5","13816.5","13850.75"
"NIFTY 200","17 Jun 2025","13967","13968.3","13868","13883.75"
"NIFTY 200","16 Jun 2025","13830.75","13957.7","13777.05","13949.35"
"NIFTY 200","13 Jun 2025","13667.55","13842.25","13667.55","13825.40"
"NIFTY 200","12 Jun 2025","14102.2","14107.1","13891.8","13915.60"
"NIFTY 200","11 Jun 2025","14109.2","14138.4","14056.4","14087.75"
"NIFTY 200","10 Jun 2025","14141.4","14142.35","14059.25","14089.90"
"NIFTY 200","09 Jun 2025","14082.45","14093.55","14049.15","14086.90"
"NIFTY 200","06 Jun 2025","13856.55","14005.25","13814.9","13996.30"
"NIFTY 200","05 Jun 2025","13814.15","13908.35","13777.85","13845.80"
"NIFTY 200","04 Jun 2025","13735.15","13782.75","13695.35","13772.05"
"NIFTY 200","03 Jun 2025","13850.6","13874.95","13707.25","13719.90"
