"Index Name","Date","Open","High","Low","Close"
"NIFTY MICROCAP 250","31 Dec 2024","24754.65","25064.95","24632.7","25036.95"
"NIFTY MICROCAP 250","30 Dec 2024","25089.55","25120.3","24786.3","24816.95"
"NIFTY MICROCAP 250","27 Dec 2024","25054.35","25132.25","24966.85","25066.15"
"NIFTY MICROCAP 250","26 Dec 2024","25226.8","25263.15","24943","24978.90"
"NIFTY MICROCAP 250","24 Dec 2024","25061.8","25186.45","24941.95","25160.70"
"NIFTY MICROCAP 250","23 Dec 2024","25396.55","25471.45","24820.85","25003.80"
"NIFTY MICROCAP 250","20 Dec 2024","25903.85","26012.75","25183.7","25227.10"
"NIFTY MICROCAP 250","19 Dec 2024","25450.4","25839.9","25437.95","25813.85"
"NIFTY MICROCAP 250","18 Dec 2024","26091.6","26139.25","25781.4","25857.00"
"NIFTY MICROCAP 250","17 Dec 2024","26261.15","26326.75","26085.85","26112.30"
"NIFTY MICROCAP 250","16 Dec 2024","26103","26297.6","26094.35","26214.70"
"NIFTY MICROCAP 250","13 Dec 2024","26036.4","26053.4","25602.3","26014.55"
"NIFTY MICROCAP 250","12 Dec 2024","26449.25","26476.9","26069.65","26100.10"
"NIFTY MICROCAP 250","11 Dec 2024","26383.1","26474.7","26314.4","26411.60"
"NIFTY MICROCAP 250","10 Dec 2024","26240.05","26325.3","26109.55","26301.50"
"NIFTY MICROCAP 250","09 Dec 2024","26098.1","26184.85","26013.5","26128.80"
"NIFTY MICROCAP 250","06 Dec 2024","25937.95","26066.3","25836.3","26005.80"
"NIFTY MICROCAP 250","05 Dec 2024","25901.75","25952.7","25754.45","25843.00"
"NIFTY MICROCAP 250","04 Dec 2024","25720.9","25847.8","25639.65","25796.75"
"NIFTY MICROCAP 250","03 Dec 2024","25405.05","25667.65","25398.6","25632.10"
"NIFTY MICROCAP 250","02 Dec 2024","25140.25","25335.15","25016.9","25321.45"
"NIFTY MICROCAP 250","29 Nov 2024","24982.4","25135.6","24789.9","25115.75"
"NIFTY MICROCAP 250","28 Nov 2024","24836.4","25079.9","24745.65","24906.30"
"NIFTY MICROCAP 250","27 Nov 2024","24416.75","24756.8","24331.4","24741.75"
"NIFTY MICROCAP 250","26 Nov 2024","24220.6","24359.85","24108.05","24332.70"
"NIFTY MICROCAP 250","25 Nov 2024","24164.2","24272.55","24057.8","24133.45"
"NIFTY MICROCAP 250","22 Nov 2024","23574.3","23741.75","23454.25","23716.30"
"NIFTY MICROCAP 250","21 Nov 2024","23700.25","23710.75","23283.05","23517.10"
"NIFTY MICROCAP 250","19 Nov 2024","23585.3","23990.35","23584.35","23716.80"
"NIFTY MICROCAP 250","18 Nov 2024","23679.05","23739.2","23217.35","23469.85"
"NIFTY MICROCAP 250","14 Nov 2024","23460.15","23884.15","23457.75","23626.50"
"NIFTY MICROCAP 250","13 Nov 2024","24059","24109.05","23352.7","23394.75"
"NIFTY MICROCAP 250","12 Nov 2024","24535.3","24666.9","24104","24142.15"
"NIFTY MICROCAP 250","11 Nov 2024","24756.8","24757.9","24439.85","24454.40"
"NIFTY MICROCAP 250","08 Nov 2024","25244.5","25262.85","24756.65","24799.45"
"NIFTY MICROCAP 250","07 Nov 2024","25394.7","25513.95","25173.4","25206.70"
"NIFTY MICROCAP 250","06 Nov 2024","24982.85","25362.2","24939.15","25331.45"
"NIFTY MICROCAP 250","05 Nov 2024","24595","24883.15","24571.55","24833.10"
"NIFTY MICROCAP 250","04 Nov 2024","25183.3","25193.75","24502.6","24681.90"
"NIFTY MICROCAP 250","01 Nov 2024","25085.85","25193.7","25076.95","25145.25"
"NIFTY MICROCAP 250","31 Oct 2024","24390.8","24914.75","24327","24854.60"
"NIFTY MICROCAP 250","30 Oct 2024","23999.1","24446.8","23962.25","24332.80"
"NIFTY MICROCAP 250","29 Oct 2024","23825.05","23905.5","23572.75","23867.50"
"NIFTY MICROCAP 250","28 Oct 2024","23492.25","23834.85","23195.65","23767.15"
"NIFTY MICROCAP 250","25 Oct 2024","24060.65","24105.9","23223.25","23443.90"
"NIFTY MICROCAP 250","24 Oct 2024","24344.75","24398.5","23996.85","24014.35"
"NIFTY MICROCAP 250","23 Oct 2024","23989.3","24488.75","23670.95","24280.50"
"NIFTY MICROCAP 250","22 Oct 2024","25035.55","25062.55","23952.45","24009.10"
"NIFTY MICROCAP 250","21 Oct 2024","25640.35","25664.25","25004","25046.80"
"NIFTY MICROCAP 250","18 Oct 2024","25499.2","25575.65","25022.1","25541.50"
