"Index Name","Date","Open","High","Low","Close"
"NIFTY AUTO","31 Dec 2021","10788.40","10950.45","10774.70","10936.90"
"NIFTY AUTO","30 Dec 2021","10844.15","10850.55","10741.75","10755.65"
"NIFTY AUTO","29 Dec 2021","10799.95","10850.65","10740.75","10829.55"
"NIFTY AUTO","28 Dec 2021","10698.00","10796.65","10671.35","10783.85"
"NIFTY AUTO","27 Dec 2021","10582.15","10656.85","10505.75","10641.65"
"NIFTY AUTO","24 Dec 2021","10787.40","10792.70","10561.20","10620.75"
"NIFTY AUTO","23 Dec 2021","10737.55","10769.55","10700.35","10731.05"
"NIFTY AUTO","22 Dec 2021","10534.25","10686.35","10534.05","10652.55"
"NIFTY AUTO","21 Dec 2021","10466.95","10589.50","10412.90","10483.90"
"NIFTY AUTO","20 Dec 2021","10536.10","10543.50","10197.20","10405.30"
"NIFTY AUTO","17 Dec 2021","10927.00","10931.60","10661.40","10678.65"
"NIFTY AUTO","16 Dec 2021","11091.70","11094.75","10905.20","10945.75"
"NIFTY AUTO","15 Dec 2021","10973.60","11102.15","10961.20","11026.00"
"NIFTY AUTO","14 Dec 2021","11010.50","11012.45","10888.35","10972.15"
"NIFTY AUTO","13 Dec 2021","11176.55","11212.20","11032.05","11047.15"
"NIFTY AUTO","10 Dec 2021","11002.80","11127.50","10997.45","11080.05"
"NIFTY AUTO","09 Dec 2021","11095.45","11095.85","10942.10","11058.75"
"NIFTY AUTO","08 Dec 2021","10822.85","11018.40","10807.30","11007.70"
"NIFTY AUTO","07 Dec 2021","10698.60","10812.55","10653.65","10759.00"
"NIFTY AUTO","06 Dec 2021","10788.50","10793.35","10570.35","10589.80"
"NIFTY AUTO","03 Dec 2021","10880.10","10929.00","10757.30","10788.75"
"NIFTY AUTO","02 Dec 2021","10787.15","10891.60","10752.80","10873.15"
"NIFTY AUTO","01 Dec 2021","10725.75","10802.65","10670.10","10758.15"
"NIFTY AUTO","30 Nov 2021","10725.95","10868.75","10554.25","10603.55"
"NIFTY AUTO","29 Nov 2021","10705.65","10807.65","10448.15","10704.15"
