"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY AUTO","03 Nov 2025","27.74","4.85","1.11"
"NIFTY AUTO","31 Oct 2025","27.71","4.85","1.11"
"NIFTY AUTO","30 Oct 2025","27.73","4.85","1.11"
"NIFTY AUTO","29 Oct 2025","27.85","4.87","1.11"
"NIFTY AUTO","28 Oct 2025","28.13","4.91","1.1"
"NIFTY AUTO","27 Oct 2025","28.27","4.93","1.09"
"NIFTY AUTO","24 Oct 2025","28.11","4.9","1.1"
"NIFTY AUTO","23 Oct 2025","28.22","4.92","1.1"
"NIFTY AUTO","21 Oct 2025","28.23","4.92","1.1"
"NIFTY AUTO","20 Oct 2025","28.18","4.91","1.1"
"NIFTY AUTO","17 Oct 2025","28.23","4.92","1.1"
"NIFTY AUTO","16 Oct 2025","28.04","4.89","1.1"
"NIFTY AUTO","15 Oct 2025","27.69","4.83","1.12"
"NIFTY AUTO","14 Oct 2025","27.62","4.82","1.12"
"NIFTY AUTO","13 Oct 2025","27.68","4.83","1.12"
"NIFTY AUTO","10 Oct 2025","27.7","4.83","1.12"
"NIFTY AUTO","09 Oct 2025","27.56","4.81","1.12"
"NIFTY AUTO","08 Oct 2025","27.5","4.79","1.12"
"NIFTY AUTO","07 Oct 2025","27.92","4.87","1.11"
"NIFTY AUTO","06 Oct 2025","27.84","4.85","1.11"
"NIFTY AUTO","03 Oct 2025","27.74","4.84","1.11"
"NIFTY AUTO","01 Oct 2025","27.75","4.84","1.11"
"NIFTY AUTO","30 Sep 2025","27.52","4.8","1.12"
"NIFTY AUTO","29 Sep 2025","27.14","4.68","1.12"
"NIFTY AUTO","26 Sep 2025","27.19","4.69","1.12"
"NIFTY AUTO","25 Sep 2025","27.47","4.73","1.11"
"NIFTY AUTO","24 Sep 2025","27.72","4.78","1.1"
"NIFTY AUTO","23 Sep 2025","28.05","4.83","1.09"
"NIFTY AUTO","22 Sep 2025","27.87","4.8","1.09"
"NIFTY AUTO","19 Sep 2025","27.94","4.82","1.09"
"NIFTY AUTO","18 Sep 2025","28.05","4.84","1.09"
"NIFTY AUTO","17 Sep 2025","28.02","4.83","1.09"
"NIFTY AUTO","16 Sep 2025","27.87","4.8","1.09"
"NIFTY AUTO","15 Sep 2025","27.47","4.73","1.11"
"NIFTY AUTO","12 Sep 2025","27.58","4.75","1.1"
"NIFTY AUTO","11 Sep 2025","27.45","4.73","1.11"
"NIFTY AUTO","10 Sep 2025","27.55","4.75","1.11"
"NIFTY AUTO","09 Sep 2025","27.9","4.81","1.09"
"NIFTY AUTO","08 Sep 2025","27.91","4.81","1.09"
"NIFTY AUTO","05 Sep 2025","27.02","4.66","1.13"
"NIFTY AUTO","04 Sep 2025","26.68","4.6","1.14"
"NIFTY AUTO","03 Sep 2025","26.46","4.64","1.15"
"NIFTY AUTO","02 Sep 2025","26.26","4.6","1.16"
"NIFTY AUTO","01 Sep 2025","26.34","4.62","1.16"
"NIFTY AUTO","29 Aug 2025","25.62","4.49","1.19"
"NIFTY AUTO","28 Aug 2025","25.85","4.53","1.18"
"NIFTY AUTO","26 Aug 2025","25.99","4.55","1.17"
"NIFTY AUTO","25 Aug 2025","26.1","4.57","1.17"
"NIFTY AUTO","22 Aug 2025","26","4.56","1.09"
"NIFTY AUTO","21 Aug 2025","26.05","4.57","1.09"
"NIFTY AUTO","20 Aug 2025","26.14","4.66","1.09"
"NIFTY AUTO","19 Aug 2025","26.13","4.65","1.09"
"NIFTY AUTO","18 Aug 2025","25.82","4.59","1.1"
"NIFTY AUTO","14 Aug 2025","24.68","4.41","1.15"
"NIFTY AUTO","13 Aug 2025","24.66","4.41","1.17"
"NIFTY AUTO","12 Aug 2025","24.39","4.36","1.18"
"NIFTY AUTO","11 Aug 2025","23.98","4.34","1.19"
"NIFTY AUTO","08 Aug 2025","23.73","4.29","1.2"
"NIFTY AUTO","07 Aug 2025","24.38","4.35","1.19"
"NIFTY AUTO","06 Aug 2025","24.33","4.34","1.25"
"NIFTY AUTO","05 Aug 2025","24.57","4.39","1.24"
"NIFTY AUTO","04 Aug 2025","24.47","4.38","1.25"
"NIFTY AUTO","01 Aug 2025","24.16","4.31","1.42"
"NIFTY AUTO","31 Jul 2025","24.73","4.35","1.2"
"NIFTY AUTO","30 Jul 2025","24.83","4.38","1.2"
"NIFTY AUTO","29 Jul 2025","24.93","4.41","1.19"
"NIFTY AUTO","28 Jul 2025","24.73","4.38","1.16"
"NIFTY AUTO","25 Jul 2025","24.82","4.43","1.16"
"NIFTY AUTO","24 Jul 2025","25.14","4.48","1.14"
"NIFTY AUTO","23 Jul 2025","25.13","4.5","1.07"
"NIFTY AUTO","22 Jul 2025","24.92","4.48","1.08"
"NIFTY AUTO","21 Jul 2025","25.1","4.55","1.08"
"NIFTY AUTO","18 Jul 2025","24.94","4.54","1.1"
"NIFTY AUTO","17 Jul 2025","25.05","4.56","1.08"
"NIFTY AUTO","16 Jul 2025","25.06","4.56","1.08"
"NIFTY AUTO","15 Jul 2025","24.95","4.54","1.09"
"NIFTY AUTO","14 Jul 2025","24.58","4.48","1.1"
"NIFTY AUTO","11 Jul 2025","24.52","4.47","1.11"
"NIFTY AUTO","10 Jul 2025","24.96","4.56","1.08"
"NIFTY AUTO","09 Jul 2025","24.99","4.72","1.08"
"NIFTY AUTO","08 Jul 2025","24.89","4.71","1.09"
"NIFTY AUTO","07 Jul 2025","24.99","4.73","1.08"
"NIFTY AUTO","04 Jul 2025","25.03","4.73","1.26"
"NIFTY AUTO","03 Jul 2025","25.05","4.74","1.05"
"NIFTY AUTO","02 Jul 2025","24.94","4.72","1.05"
"NIFTY AUTO","01 Jul 2025","24.86","4.7","1.06"
"NIFTY AUTO","30 Jun 2025","24.91","4.71","1.06"
"NIFTY AUTO","27 Jun 2025","25.06","5.07","1.05"
"NIFTY AUTO","26 Jun 2025","25.01","5.06","1.05"
"NIFTY AUTO","25 Jun 2025","24.87","5.03","1.06"
"NIFTY AUTO","24 Jun 2025","24.63","4.99","1.07"
"NIFTY AUTO","23 Jun 2025","24.49","4.96","1.07"
"NIFTY AUTO","20 Jun 2025","24.72","5","1.06"
"NIFTY AUTO","19 Jun 2025","24.51","4.96",".85"
"NIFTY AUTO","18 Jun 2025","24.39","4.94",".86"
"NIFTY AUTO","17 Jun 2025","24.3","4.92",".86"
"NIFTY AUTO","16 Jun 2025","24.44","4.95",".86"
"NIFTY AUTO","13 Jun 2025","24.4","4.94",".94"
"NIFTY AUTO","12 Jun 2025","24.49","4.96",".94"
"NIFTY AUTO","11 Jun 2025","24.9","5.04",".92"
"NIFTY AUTO","10 Jun 2025","24.85","5.03","1.02"
"NIFTY AUTO","09 Jun 2025","24.87","5.03","1.02"
"NIFTY AUTO","06 Jun 2025","24.75","5.01","1.03"
"NIFTY AUTO","05 Jun 2025","24.38","4.93","1.04"
"NIFTY AUTO","04 Jun 2025","24.41","4.94","1.04"
"NIFTY AUTO","03 Jun 2025","24.34","4.93",".93"
"NIFTY AUTO","02 Jun 2025","24.33","4.94",".93"
"NIFTY AUTO","30 May 2025","24.25","4.94",".93"
"NIFTY AUTO","29 May 2025","24.49","4.99",".92"
"NIFTY AUTO","28 May 2025","24.37","4.96",".92"
"NIFTY AUTO","27 May 2025","24.53","5",".92"
"NIFTY AUTO","26 May 2025","24.79","5.03",".91"
"NIFTY AUTO","23 May 2025","24.53","4.98",".92"
"NIFTY AUTO","22 May 2025","24.47","4.97",".92"
"NIFTY AUTO","21 May 2025","24.72","5.02",".86"
"NIFTY AUTO","20 May 2025","24.55","4.98",".87"
"NIFTY AUTO","19 May 2025","25.22","5.09",".85"
"NIFTY AUTO","16 May 2025","25.12","5.07",".85"
"NIFTY AUTO","15 May 2025","24.96","5.04",".86"
"NIFTY AUTO","14 May 2025","22.6","4.94",".87"
"NIFTY AUTO","13 May 2025","22.42","4.9",".88"
"NIFTY AUTO","12 May 2025","22.66","4.95",".87"
"NIFTY AUTO","09 May 2025","21.91","4.79",".9"
"NIFTY AUTO","08 May 2025","21.98","4.8",".9"
"NIFTY AUTO","07 May 2025","22.41","4.89",".88"
"NIFTY AUTO","06 May 2025","22.18","4.81",".9"
"NIFTY AUTO","05 May 2025","22.14","4.81",".9"
"NIFTY AUTO","02 May 2025","21.74","4.72",".91"
"NIFTY AUTO","30 Apr 2025","21.82","4.72",".91"
"NIFTY AUTO","29 Apr 2025","21.81","4.72",".91"
"NIFTY AUTO","28 Apr 2025","21.86","4.73",".91"
"NIFTY AUTO","25 Apr 2025","21.51","4.66",".93"
"NIFTY AUTO","24 Apr 2025","21.87","4.74",".91"
"NIFTY AUTO","23 Apr 2025","21.93","4.75",".91"
"NIFTY AUTO","22 Apr 2025","21.42","4.64",".93"
"NIFTY AUTO","21 Apr 2025","21.34","4.62",".93"
"NIFTY AUTO","17 Apr 2025","20.9","4.52",".95"
"NIFTY AUTO","16 Apr 2025","20.69","4.48",".96"
"NIFTY AUTO","15 Apr 2025","20.77","4.5",".96"
"NIFTY AUTO","11 Apr 2025","20.09","4.35",".99"
"NIFTY AUTO","09 Apr 2025","19.69","4.26","1.01"
"NIFTY AUTO","08 Apr 2025","19.69","4.26","1.01"
"NIFTY AUTO","07 Apr 2025","19.38","4.19","1.03"
"NIFTY AUTO","04 Apr 2025","20.14","4.36",".99"
"NIFTY AUTO","03 Apr 2025","20.69","4.48",".96"
"NIFTY AUTO","02 Apr 2025","20.93","4.53","1.02"
"NIFTY AUTO","01 Apr 2025","20.76","4.5","1.03"
"NIFTY AUTO","28 Mar 2025","20.82","4.51","1.03"
"NIFTY AUTO","27 Mar 2025","20.68","4.41","1.03"
"NIFTY AUTO","26 Mar 2025","20.9","4.46","1.02"
"NIFTY AUTO","25 Mar 2025","20.89","4.46","1"
"NIFTY AUTO","24 Mar 2025","21.09","4.5",".99"
"NIFTY AUTO","21 Mar 2025","20.91","4.46","1"
"NIFTY AUTO","20 Mar 2025","20.78","4.43","1"
"NIFTY AUTO","19 Mar 2025","20.49","4.37","1.02"
"NIFTY AUTO","18 Mar 2025","20.41","4.36","1.04"
"NIFTY AUTO","17 Mar 2025","19.93","4.25","1.07"
"NIFTY AUTO","13 Mar 2025","19.75","4.22","1.08"
"NIFTY AUTO","12 Mar 2025","19.98","4.26","1.06"
"NIFTY AUTO","11 Mar 2025","19.88","4.24","1.07"
"NIFTY AUTO","10 Mar 2025","19.95","4.26","1.07"
"NIFTY AUTO","07 Mar 2025","20.19","4.31","1.05"
"NIFTY AUTO","06 Mar 2025","20.14","4.3","1.06"
"NIFTY AUTO","05 Mar 2025","19.99","4.27","1.06"
"NIFTY AUTO","04 Mar 2025","19.48","4.16","1.09"
"NIFTY AUTO","03 Mar 2025","19.74","4.21","1.08"
"NIFTY AUTO","28 Feb 2025","19.7","4.2","1.08"
"NIFTY AUTO","27 Feb 2025","20.51","4.38","1.04"
"NIFTY AUTO","25 Feb 2025","20.82","4.44","1.02"
"NIFTY AUTO","24 Feb 2025","20.71","4.42","1.03"
"NIFTY AUTO","21 Feb 2025","20.67","4.41","1.05"
"NIFTY AUTO","20 Feb 2025","21.22","4.53","1.15"
"NIFTY AUTO","19 Feb 2025","20.96","4.47","1.17"
"NIFTY AUTO","18 Feb 2025","20.97","4.48","1.17"
"NIFTY AUTO","17 Feb 2025","21.16","4.5","1.15"
"NIFTY AUTO","14 Feb 2025","21.28","4.53","1.15"
"NIFTY AUTO","13 Feb 2025","21.58","4.58","1.13"
"NIFTY AUTO","12 Feb 2025","21.64","4.6","1.13"
"NIFTY AUTO","11 Feb 2025","21.74","4.64","1"
"NIFTY AUTO","10 Feb 2025","22.47","4.75",".97"
"NIFTY AUTO","07 Feb 2025","22.73","4.82",".96"
"NIFTY AUTO","06 Feb 2025","22.57","4.78",".96"
"NIFTY AUTO","05 Feb 2025","22.79","4.83",".96"
"NIFTY AUTO","04 Feb 2025","22.8","4.83",".96"
"NIFTY AUTO","03 Feb 2025","22.6","4.79",".96"
"NIFTY AUTO","01 Feb 2025","22.58","4.79",".97"
"NIFTY AUTO","31 Jan 2025","22.16","4.7",".99"
"NIFTY AUTO","30 Jan 2025","21.89","4.62","1"
"NIFTY AUTO","29 Jan 2025","22.02","4.64","1"
"NIFTY AUTO","28 Jan 2025","21.7","4.57","1.01"
"NIFTY AUTO","27 Jan 2025","21.44","4.51","1.02"
"NIFTY AUTO","24 Jan 2025","21.64","4.55","1.01"
"NIFTY AUTO","23 Jan 2025","21.98","4.62","1"
"NIFTY AUTO","22 Jan 2025","21.74","4.57","1.01"
"NIFTY AUTO","21 Jan 2025","21.77","4.58","1.01"
"NIFTY AUTO","20 Jan 2025","22.13","4.66",".99"
"NIFTY AUTO","17 Jan 2025","22.24","4.68",".99"
"NIFTY AUTO","16 Jan 2025","22.31","4.69",".98"
"NIFTY AUTO","15 Jan 2025","22.17","4.66",".99"
"NIFTY AUTO","14 Jan 2025","22.28","4.69",".98"
"NIFTY AUTO","13 Jan 2025","21.84","4.6","1"
"NIFTY AUTO","10 Jan 2025","22.46","4.73",".98"
"NIFTY AUTO","09 Jan 2025","22.75","4.79",".96"
"NIFTY AUTO","08 Jan 2025","22.81","4.8",".96"
"NIFTY AUTO","07 Jan 2025","22.92","4.82",".96"
"NIFTY AUTO","06 Jan 2025","22.92","4.82",".96"
"NIFTY AUTO","03 Jan 2025","23.43","4.93",".94"
"NIFTY AUTO","02 Jan 2025","23.44","4.93",".94"
"NIFTY AUTO","01 Jan 2025","22.58","4.75",".97"
